idx,saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq21_4,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq24,bq25,bq26,bq26_1,bq27_1,bq27_2,bq28,bq29,bq30_1,bq30_2,bq30_3,knowcode
27589,2,3,2,2,3,3,2,2,3,3,1, ,2,3,3,4,3,3,3,3,2,2,4,5,3,3,2,2,1, ,3,4,1, ,1, ,1, ,3,3,3,3,2,3,3,3,1, ,1, ,1, ,3,4,2,3,3,4,3,5,2,2,3,4,3,4,3,4,4,5,3,3,3,3,3,5,4,5,3,4,3,5,3,3,3,3,3,4,3,4,3,2,4,2,3,2,4,3,4,3,3,3,1,3,1,기계조립산업기사,금속재료시험기사, ,2, , ,3,4,3,3,2,2,4,3,3,4,4,5,4,4,3,3,3,3,2,4,2,2,4,2,4,4,3,4,3,4,5,4,4,4,2,2,2,2,2,2,2,2,2,2, ,2,2,코로나19 경기둔화,2,2,2,1,5,7,6,4,5,4,6,4,5,1,36,3,금속공학,1,1,1,40,3000,2500, ,817201
27590,3,3,4,4,1, ,2,3,1, ,2,3,1, ,3,3,3,3,1, ,3,4,3,4,3,3,1, ,1, ,2,3,1, ,1, ,2,3,1, ,3,3,2,3,1, ,1, ,3,4,1, ,3,4,3,3,4,5,3,4,1, ,3,4,4,4,4,5,4,5,3,4,1, ,3,4,4,4,2,3,3,4,3,4,3,4,2,4,2,2,3,2,2,2,1,1,2,1,1,4,1,3,1,2,2, , , ,2, , ,2,2,2,2,1,3,2,2,2,2,2,3,2,3,3,2,4,3,4,5,4,4,2,2,4,4,4,4,5,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2, ,2,3,생산시설의 자동화가 되어가고 있어서 변화가 없을 것 같아서,3,2,2,2,7,7,6,5,7,8,7,3,4,1,48,3,전기,1,1,1,54,4300,2200, ,861101
27591,4,5,4,5,3,4,3,4,3,4,4,5,4,5,3,4,5,6,3,4,4,5,4,5,4,5,5,6,3,4,2,3,4,5,3,4,3,4,3,4,4,5,4,5,4,5,3,4,2,3,2,3,1, ,1, ,1, ,1, ,4,5,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,4,3,4,5,4,4,3,4,4,3,5,3,5,4,4,5,7,1,2,1,유통관리사,"거래,상거래관리사", ,2, , ,5,2,3,4,4,5,5,3,3,3,4,4,4,2,4,3,2,3,2,3,4,4,5,2,5,4,5,5,5,4,5,4,4,5,5,2,2,2,2,2,2,2,2,2, ,2,4,모바일 쇼핑이 점차 증가하고 있어서 상품 소개하는 영역에서 일자리가 늘어날 것이다,1,1,1,1,5,3,2,1,1,4,1,2,4,1,35,4,무역유통학,1,1,1,40,3200,2200, ,24301
27592,3,5,3,5,3,2,3,5,4,5,4,5,2,2,3,3,5,4,3,4,3,3,3,3,5,6,1, ,3,3,1, ,1, ,4,5,3,3,2,2,2,3,5,4,1, ,4,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,5,4,1, ,1, ,1, ,1, ,1, ,3,3,3,4,5,6,3,5,4,4,4,5,3,3,4,4,3,4,4,2,4,5,5,5,5,5,5,7,3,2,1,경매사 자격증, , ,2, , ,5,2,4,3,3,4,4,3,4,9,9,9,4,1,4,5,5,4,4,3,4,3,3,3,4,4,2,3,3,4,5,4,3,5,3,2,2,2,2,2,2,2,2,2, ,3,2,"홈쇼핑, 인터넷 쇼핑의 발달로",2,2,2,2,8,2,2,3,2,3,7,8,7,1,58,2,공고,2,5,1,40, , ,4000,612501
27593,5,4,3,4,4,5,3,4,3,4,3,5,3,5,3,4,2,3,2,3,3,4,3,4,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,4,5,3,5,4,4,2,3,3,4,3,4,3,4,1, ,1, ,1, ,2,3,1, ,2,3,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,1, ,1, ,2,2,4,4,4,2,1,4,4,3,2,2,2,4,5,15,2,4,2, , , ,2, , ,7,3,4,2,2,1,1,3,2,2,5,5,3,4,1,1,5,4,4,4,1,2,2,2,4,4,4,4,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2, ,4,2,변화없을듯,2,3,3,1,5,5,5,5,5,5,5,5,5,2,34,5,교육학,1,2,2,40,3800,3800, ,110104
27594,2,3,3,3,2,2,2,4,1, ,2,2,2,3,4,4,3,4,3,5,2,2,5,6,2,2,2,2,3,4,3,3,2,2,2,1,3,5,3,4,3,3,2,2,2,2,3,4,2,2,3,5,1, ,1, ,4,5,2,2,2,3,1, ,3,2,1, ,1, ,1, ,1, ,2,1,3,3,3,3,2,2,3,3,5,3,4,4,3,5,1,4,4,3,5,4,3,2,4,3,4,16,5,3,1,"특수학교 1,2급", , ,2, , ,4,5,4,4,3,4,4,3,4,3,4,5,4,3,5,3,2,4,2,1,3,4,5,4,4,3,1,1,3,5,5,3,2,4,4,2,2,2,2,2,2,2,2,2, ,1,4,사회적 약자에 관한 인식 및 관심 증가,3,3,3,1,6,8,2,8,2,2,3,5,6,2,34,4,특수교육학,1,1,1,40,3500,2400, ,212301
27595,1, ,1, ,1, ,2,3,1, ,1, ,4,4,2,2,3,3,2,3,3,3,1, ,4,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,2,3,4,4,2,3,2,2,1, ,1, ,1, ,4,5,2,3,3,4,1, ,3,3,3,3,3,2,2,2,1, ,1, ,2,2,2,4,2,2,1, ,5,4,1, ,5,3,5,2,4,3,3,5,4,2,2,2,5,19,4,1,2, , , ,2, , ,6,1,3,3,2,5,5,4,2,3,3,3,3,2,4,4,4,4,3,4,3,2,3,3,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2, ,1,3,예술적인 부분이라 변화가 크지는 않다고 생각,3,3,3,2,7,7,7,6,6,6,8,3,3,1,42,4,사진학,2,6,1,40, , ,3500,414201
27596,2,2,3,3,1, ,2,2,1, ,1, ,1, ,3,1,2,2,2,4,1, ,2,2,3,4,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,2,3,3,4,3,3,3,3,2,3,3,3,2,2,2,1,1, ,2,2,1, ,2,2,2,1,1, ,2,2,3,4,3,2,1, ,3,4,2,2,2,2,2,1,3,3,3,3,2,1,2,4,3,3,2,2,3,6,1,2,2, , , ,2, , ,7,4,3,3,4,4,3,3,3,9,9,9,3,2,2,3,3,3,3,4,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2, ,1,3,기계대체 불가,3,3,2,2,8,7,6,5,6,5,4,5,5,2,52,2,문과,2,7,2,40, , ,6200,702401
27597,3,4,3,4,4,6,3,5,4,6,3,4,3,5,4,5,4,5,3,4,3,4,4,5,4,5,4,5,4,5,3,4,3,4,3,4,2,3,3,5,4,6,4,5,4,5,4,5,4,6,4,5,2,2,1, ,1, ,1, ,3,4,4,6,3,4,1, ,1, ,1, ,4,6,3,4,3,4,4,5,3,4,3,4,4,5,4,5,4,3,4,4,4,4,3,3,3,4,4,3,4,3,1,2,2, , , ,2, , ,2,2,2,2,2,3,4,3,3,2,4,4,3,2,4,3,4,4,5,4,3,4,4,4,4,4,5,4,4,5,4,4,3,4,4,2,2,2,2,2,2,2,2,2, ,2,3,무역으로 인한 경제발전은 기본이라서,2,2,2,1,5,3,4,3,3,3,4,3,4,2,29,4,국문학,1,1,1,40,3000,2000, ,28101
27598,3,3,3,3,3,3,2,3,1, ,1, ,1, ,4,4,3,3,3,3,1, ,3,3,4,4,1, ,1, ,4,4,1, ,1, ,3,3,3,2,4,3,1, ,3,2,1, ,1, ,1, ,1, ,1, ,3,2,3,2,1, ,1, ,3,2,3,2,3,2,3,3,1, ,4,3,1, ,3,4,1, ,1, ,3,5,2,3,4,4,3,3,3,3,3,2,2,3,3,3,2,3,1,2,2, , , ,2, , ,7,2,3,2,1,3,3,2,2,3,3,4,3,4,2,2,3,3,2,4,3,2,4,3,5,3,3,2,2,4,5,3,3,4,3,2,2,2,2,2,2,2,2,2, ,3,2,자동화로 많이 변화되고 있어서,3,3,3,2,6,5,6,4,6,4,4,6,6,1,24,2,금속재료,1,1,1,40,2100,2040, ,852401
27599,3,5,3,5,2,2,2,4,1, ,1, ,1, ,3,5,2,4,2,2,1, ,1, ,3,5,3,3,3,3,2,2,2,3,2,3,3,3,3,3,2,2,2,2,2,3,1, ,1, ,1, ,2,4,2,1,3,5,3,4,1, ,3,3,4,6,4,5,4,6,5,4,1, ,3,5,4,3,4,5,3,5,3,5,3,3,2,2,4,3,4,2,3,2,2,4,2,2,3,4,3,19,1,2,2, , , ,2, , ,3,2,2,2,2,2,2,1,3,3,4,3,3,4,2,2,3,4,4,2,2,3,4,4,3,4,4,3,3,3,4,4,4,3,4,2,2,2,2,2,2,2,2,2, ,2,2,경기침체로 일자리 증가는 없을 것 같아서,3,3,3,2,6,7,7,6,4,4,6,5,4,1,58,2,상고,1,1,1,60,3200,2600, ,811301
27600,4,5,4,5,3,5,2,3,4,5,3,5,3,4,3,5,4,5,2,3,3,4,3,4,4,5,4,6,4,5,3,4,3,5,3,5,2,3,3,4,2,3,3,4,2,4,3,4,2,2,3,4,4,6,3,4,3,4,2,3,4,6,3,4,2,3,2,3,1, ,1, ,2,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,4,3,3,4,3,3,3,4,3,4,3,13,1,3,2, , , ,2, , ,3,4,3,3,2,4,3,2,4,4,3,4,4,4,3,3,4,3,2,3,3,4,4,4,4,3,5,4,4,5,4,3,4,4,4,2,2,2,1,2,2,2,1,1,게약건이 늘어서 업무가 과다로 스트레스가 받는다,2,2,AI등 기술의 발전으로 기계가 대신해서,1,1,3,1,7,3,4,6,6,5,4,6,5,2,28,4,통계학,1,1,1,40,3700,3400, ,134102
27601,2,3,2,3,2,3,1, ,2,3,1, ,1, ,1, ,3,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,4,1, ,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,1, ,4,3,3,3,3,4,4,2,3,3,3,4,3,15,2,4,2, , , ,2, , ,7,3,4,4,4,5,5,5,3,3,3,3,3,2,2,2,4,3,4,4,4,4,4,4,3,2,2,3,3,2,4,3,3,5,4,2,2,2,2,2,2,2,2,2, ,2,2,"자동화,전산화로 인해서",3,1,3,1,6,6,4,4,3,7,3,3,5,2,32,4,행정학,1,1,1,40,3200,2300, ,25301
27602,5,6,5,7,5,7,5,6,5,7,5,5,5,6,5,6,5,6,3,5,4,6,5,6,5,5,5,6,5,6,5,7,5,7,4,7,5,6,5,6,4,6,5,6,4,6,5,7,5,5,5,6,5,7,5,7,5,7,5,4,4,6,5,6,5,6,3,4,3,4,3,3,3,5,3,3,2,4,3,3,3,5,3,3,2,4,3,4,5,5,5,4,5,3,4,3,3,4,3,4,4,13,5,2,1,박사학위, , ,2, , ,6,7,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2, ,2,3,현상태유지,3,3,3,2,2,3,2,2,3,3,3,3,4,1,43,6,약학,1,1,1,40,4800,3000, ,122102
27603,2,2,2,2,1, ,2,2,2,2,1, ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,2,2,2,2,2,2,2,1, ,1, ,2,2,2,2,2,2,1, ,2,2,1, ,2,2,2,2,2,2,2,2,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,2,1, ,2,3,2,3,3,2,2,2,3,2,2,2,3,2,3,2,2,3,1,3,2, , , ,2, , ,2,1,3,2,2,2,2,2,2,2,2,3,2,4,2,2,4,3,4,4,4,4,4,2,4,5,4,4,5,4,4,4,5,4,5,2,2,2,2,2,2,2,2,2, ,2,2,경기가 안좋아서,2,2,2,2,7,6,3,3,6,5,7,4,6,1,40,1, ,1,3,2,48,3000,2000, ,864201
27604,3,3,3,3,2,2,2,3,3,3,4,4,2,3,3,3,3,3,4,4,4,4,3,3,2,3,4,4,3,3,2,3,3,3,3,4,3,3,3,4,4,5,5,5,2,3,2,4,5,4,3,4,4,5,5,5,4,5,4,4,3,4,4,4,4,4,4,5,5,5,3,4,2,3,4,4,3,3,3,3,2,3,2,3,3,3,3,3,4,3,3,4,4,3,3,3,3,4,4,4,3,6,1,2,1,전기공사산업기사,전기산업기사,전기응용기술사,2, , ,5,4,4,4,3,4,5,4,4,5,4,3,4,3,4,3,3,3,4,2,3,4,3,3,3,4,4,4,3,3,3,4,4,5,4,2,2,1,2,2,2,2,1,2,새로운 장비 도입,2,2,시스템 개발,1,3,3,1,7,6,4,3,4,3,5,7,7,1,44,3,전기공학,1,3,1,40,3500,1800, ,153105
27605,3,3,3,3,3,2,3,2,3,1,3,2,1, ,3,2,1, ,1, ,1, ,5,6,2,1,1, ,3,5,2,4,1, ,1, ,4,4,2,1,1, ,2,1,2,3,1, ,2,2,1, ,1, ,1, ,1, ,1, ,3,2,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,2,3,4,3,3,3,3,4,4,3,3,19,3,2,1,청소년지도사1급, , ,2, , ,7,5,4,5,5,4,3,4,4,4,4,4,4,2,3,5,4,3,4,3,5,4,4,2,4,2,2,3,2,3,3,1,2,4,4,2,2,2,2,2,2,2,2,2, ,1,3,상담시설 분야별로 필요성,3,3,3,1,4,5,6,5,6,6,4,5,5,1,34,4,사회복지학,1,1,1,40,2600,2300, ,231301
27606,4,5,4,5,3,5,4,5,3,4,3,4,5,5,4,6,4,5,3,3,4,4,3,5,4,5,4,6,5,6,4,4,3,5,3,5,5,6,4,5,4,5,5,6,5,5,5,6,4,6,4,6,5,5,3,4,5,6,1, ,3,5,1, ,4,4,5,5,3,4,4,4,3,4,4,6,5,5,4,4,2,4,3,3,5,7,3,4,4,4,2,4,4,3,5,4,4,3,4,3,5,17,1,2,1,의사면허, , ,2, , ,6,6,4,4,4,5,5,3,4,9,9,4,4,1,4,4,2,3,3,2,4,4,4,3,5,4,3,5,4,4,5,5,1,4,5,2,2,2,2,2,2,2,2,2, ,2,4,우리나라는 성형기술의 강대국이므로 지금보다 더 많은 의료서비스의 수요가 생길것이므로,3,3,2,2,7,8,5,5,6,7,8,4,2,1,50,6,의학,2,5,1,42, , ,14000,301103
27607,4,5,3,4,2,4,4,4,3,3,3,3,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,3,4,4,4,4,4,4,4,4,3,4,4,4,2,4,5,5,4,4,5,5,5,5,3,3,3,3,4,3,4,3,4,3,4,4,4,5,3,5,3,5,3,5,4,4,4,4,4,4,3,4,3,2,2,3,4,3,4,4,3,3,4,4,4,15,2,2,2, , , ,2, , ,7,2,3,3,4,4,4,3,4,9,4,3,4,2,4,3,4,4,4,5,4,4,4,3,4,5,3,3,2,4,4,4,4,5,4,2,2,2,2,2,2,2,2,2, ,1,3,사람이 꼭 있어야 한다(자동화로 할 수 없는 부분이 있어서),3,3,3,2,8,8,5,6,6,6,5,5,6,1,46,2,기계,1,3,1,52,4500,2400, ,853101
27608,3,4,2,3,2,3,2,3,3,4,3,4,2,3,3,4,4,5,5,6,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,3,4,3,4,4,5,4,5,5,6,4,5,4,5,5,6,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,1, ,3,4,5,4,4,4,3,3,4,4,4,3,3,10,1,4,2, , , ,2, , ,7,5,3,4,4,4,4,3,3,4,4,4,3,4,3,3,4,3,3,3,2,3,3,4,3,4,4,4,2,3,4,3,2,3,3,2,1,2,2,2,2,2,2,2,5G시스템으로의 변경,2,4,컴퓨터에서 모바일로의 시스템 변경,3,3,3,1,6,4,3,7,6,5,6,4,3,1,35,4,전자공학,1,1,1,43,5200,4000, ,131203
27609,3,4,3,3,3,4,3,3,5,5,4,5,3,3,4,4,2,3,1, ,4,4,2,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,2,3,1, ,1, ,1, ,2,3,5,6,2,2,2,3,2,3,1, ,3,2,2,2,2,2,2,2,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,3,3,2,3,4,3,3,4,3,4,3,2,3,4,1,2,1,전자응용기술사,반도체설계기사, ,2, , ,6,5,4,4,4,4,4,3,4,4,4,4,4,2,3,3,3,3,4,4,2,3,3,3,5,4,4,4,4,3,4,3,3,4,4,2,2,2,2,2,2,2,2,2, ,3,2,AI의 도입으로 많은 부분에 자동화가 가능할 것 같다. 그에 따라 업무량도 줄 것이다,3,3,3,2,4,4,4,4,4,5,3,3,5,1,34,4,전기공학,1,1,1,40,4000,3000, ,153203
27610,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,5,4,5,3,4,4,5,3,4,3,4,4,5,4,5,4,5,4,5,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,3,2,4,4,5,4,5,4,5,5,5,4,5,3,4,4,5,4,5,3,5,4,5,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,1,4,1,전기기사 1급, , ,2, , ,3,4,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,4,3,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2, ,1,2,시스템 개발,3,3,3,2,8,7,7,6,8,7,8,7,7,1,48,4,전기,1,1,1,48,4000,2000, ,153102
27611,4,4,4,4,4,4,4,3,3,3,4,4,1, ,3,3,3,4,3,4,3,3,3,3,4,5,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,2,4,2,3,2,2,2,4,3,3,3,1, ,3,2,4,3,4,3,1, ,1, ,1, ,1, ,1, ,4,3,3,3,3,3,4,4,3,4,3,3,4,4,3,2,4,4,2,4,4,3,4,3,3,4,4,4,2,15,2,6,2, , , ,1,4,전시임무교육,7,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,4,3,3,4,3,4,4,5,3,4,4,4,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2, ,3,3,전산화가 발달했지만 아직까진 미흡해서,2,2,3,2,7,5,4,6,3,3,6,7,5,1,30,4,행정학,1,1,1,40,2900,2800, ,25301
27612,1, ,1, ,1, ,3,3,1, ,1, ,5,7,1, ,3,2,1, ,1, ,1, ,1, ,1, ,4,7,5,6,5,6,2,2,1, ,5,7,1, ,5,7,4,6,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,5,7,4,6,1, ,1, ,1, ,4,6,2,2,4,5,4,4,5,4,4,5,5,4,5,5,4,19,4,1,1,네일아트, , ,2, , ,2,2,5,4,4,4,5,4,4,9,9,9,4,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,5,4,4,5,5,4,4,2,2,2,2,2,2,2,2,2, ,1,3,정교한 수직업이라 사람만 할 수 있다,2,2,2,2,7,6,7,6,6,6,9,8,9,2,33,3,미용,2,6,1,60, , ,5000,511302
27613,4,5,3,5,2,2,4,6,2,2,1, ,1, ,3,4,2,3,3,4,2,2,2,3,2,3,4,5,4,5,1, ,1, ,1, ,1, ,2,2,4,5,4,5,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,3,4,2,3,4,3,3,3,3,3,4,3,3,16,5,2,1,직업상담사, , ,2, , ,2,4,4,3,4,4,4,4,2,3,3,4,3,2,3,3,3,3,2,3,2,3,4,2,4,3,4,4,3,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2, ,2,4,"직업군의 연령, 성별, 국적 다양화로 수요 증가",2,2,3,1,7,8,7,6,4,5,3,6,5,2,33,4,사회복지학,1,3,2,40,2500,2300, ,231401
27614,4,6,4,6,5,6,5,6,4,6,5,7,4,6,4,6,5,6,4,6,5,7,4,6,4,6,4,5,4,5,4,6,4,5,4,6,4,5,4,6,4,5,4,5,4,5,4,6,3,4,4,5,3,5,4,6,4,6,4,6,4,6,4,5,4,5,4,6,4,6,4,5,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,2,3,3,3,3,3,4,4,3,3,15,2,4,2, , , ,2, , ,4,6,3,3,3,5,5,5,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,4,2,4,5,2,2,2,2,2,2,2,2,2, ,2,3,현상태유지,3,3,3,2,8,8,5,7,3,3,3,3,7,1,38,6,경제학,1,1,1,50,6000,5500, ,110202
27615,3,4,3,3,3,4,3,4,3,4,3,4,3,4,3,4,2,3,3,4,3,4,2,3,3,4,2,2,1, ,2,2,2,2,2,2,3,4,1, ,2,2,3,4,2,3,1, ,3,4,2,2,3,4,3,4,1, ,2,2,1, ,1, ,1, ,2,2,2,2,1, ,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,3,3,3,3,3,3,4,4,3,3,4,4,13,1,4,2, , , ,2, , ,2,4,2,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,2,2,2,2,2,2,2,2,2, ,2,3,자동화,3,3,3,2,7,8,5,6,6,6,4,4,4,2,37,3,산업디자인,1,1,1,48,4200,3200, ,159104
27616,2,2,3,4,3,3,2,2,1, ,2,2,2,2,3,4,2,2,4,5,2,2,2,3,3,3,2,2,3,4,3,3,2,2,2,3,3,3,2,4,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,4,3,5,2,2,1, ,2,3,2,3,3,4,4,5,3,4,2,2,4,5,2,2,2,2,2,2,2,2,2,3,2,2,4,4,4,4,3,3,3,2,4,2,2,2,3,3,4,2,2, , , ,2, , ,6,2,2,2,3,2,2,3,3,3,2,3,3,3,2,3,4,4,3,3,3,3,2,2,5,2,3,2,3,3,3,2,3,4,2,2,2,2,2,2,2,2,2,2, ,2,3,특별히 늘거나 줄지 않을것 같다,3,3,3,2,6,6,6,6,6,3,3,3,5,2,52,2,문과,2,6,1,42, , ,2500,864101
27617,3,3,3,3,1, ,3,3,4,4,2,2,1, ,3,2,3,2,2,4,4,5,4,4,3,3,2,4,2,4,4,5,2,3,2,3,3,3,2,3,3,5,1, ,3,3,1, ,1, ,2,3,3,3,1, ,2,4,4,4,3,4,2,2,5,4,4,4,3,5,3,5,3,4,3,4,4,5,3,4,2,5,2,4,3,3,2,3,4,4,3,2,3,3,4,4,2,4,3,4,4,3,1,6,1,전자기기1급, , ,1,1,자동화프로그램PLC고급기능,2,3,4,4,4,3,4,3,3,2,3,4,3,2,4,4,4,4,4,4,2,5,3,4,4,3,3,3,2,3,4,4,3,4,3,1,1,1,1,1,1,2,2,2,"신형차량 개발 될때 장비,로보트,지그 변경 교체되어 장비교육 이수후 테스트하고 기술 습득 하였다",3,2,전기차량 개발로 자동화 설비 감소할 수 있다,1,1,1,1,3,3,3,3,2,3,3,3,4,1,53,2,전자,1,1,1,52,8000,2500, ,815001
27618,1, ,1, ,1, ,1, ,1, ,1, ,2,3,1, ,2,3,3,4,1, ,1, ,3,4,2,3,1, ,3,4,1, ,1, ,3,4,1, ,1, ,3,4,2,2,1, ,2,3,1, ,4,5,3,4,4,6,4,5,1, ,2,2,3,4,4,5,3,4,3,4,2,3,4,5,5,7,4,5,4,5,4,5,3,4,1, ,4,3,4,3,3,4,3,4,3,3,3,3,4,3,1,4,1,"전기기능사,기사","산업기사,기사", ,1,3,실습,3,2,3,4,4,3,3,3,3,3,4,4,4,2,4,4,2,2,3,2,5,4,5,2,5,4,4,5,5,5,5,4,4,5,4,2,2,2,2,2,2,2,2,2, ,2,3,힘든 일이어서,1,1,1,2,7,8,3,7,3,3,9,3,1,1,36,3,전자전기,1,1,1,40,3500,3000, ,835101
27619,4,5,4,5,3,5,4,5,3,5,3,5,1, ,3,5,4,4,3,5,4,5,3,4,3,4,1, ,3,4,3,4,3,5,3,4,3,5,3,4,3,4,3,4,3,5,1, ,1, ,1, ,3,4,1, ,4,5,4,6,1, ,1, ,4,5,4,5,4,5,4,5,1, ,4,5,4,5,4,5,4,5,3,4,4,5,4,5,5,4,2,3,3,2,5,4,2,2,3,5,3,8,2,6,1,전기기사,비파괴검사기사, ,1,2,전기/전자기기 관련 교육,3,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,5,4,5,4,2,5,2,3,5,4,4,4,4,4,4,4,3,4,4,2,2,1,1,1,1,2,2,2,"새로운 기계장비 도입을 통한 시간단축, 정교함 증가",2,2,단순반복업무 등 자동화 가능한 업무는 감소할 것이라서,1,1,3,1,3,3,3,3,3,3,7,7,7,1,35,3,산업전기공학,1,3,1,40,5000,3000, ,831101
27620,3,4,2,4,3,4,3,4,3,4,4,6,3,3,2,5,4,4,4,5,3,4,3,5,3,5,3,4,3,6,4,5,4,5,3,5,2,3,4,5,4,5,3,4,4,5,3,4,3,4,3,4,4,4,4,5,4,6,4,4,3,4,4,5,4,4,3,5,3,6,4,6,4,6,2,4,4,5,3,4,4,5,3,4,3,4,3,5,3,4,4,3,3,2,4,4,3,3,3,2,3,13,1,2,1,전기기능사,전기산업기사, ,2, , ,3,5,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3,4,4,3,3,4,4,4,3,2,2,2,2,2,2,2,2,2, ,1,4,전체 건물에서 관리해야 하는것들이 많음,2,2,2,1,5,5,5,5,5,5,5,6,6,1,36,4,전기전자공학,1,1,1,35,3800,3500, ,834001
