idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq19_1,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq30,bq31,bq32,bq33,bq34,bq35,bq36,bq37,bq38,bq38_1,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode
514,4,3,2,4,3,2,1,0,1,0,3,2,2,2,2,3,2,3,2,2,3,4,3,4,3,4,3,4,3,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,4,5,2,4,1,0,2,2,3,4,4,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,3,4,2,4,3,5,1,0,2,3,19,4,2,1,약사자격증,0,0,1,2,"환자 파악, 약에 대한 지식 습득",4,5,4,4,4,5,5,3,4,3,4,4,4,4,2,2,4,3,4,3,3,4,4,4,5,3,5,3,인구의 고령화와 의료보험의 확대도 고용의 변화는 크게 없을 것 같아서,4,2,6,40,2,2,2,1,2,2,2,2,1,4,1,1,1,없다,의료보험청구프로그램,없다,없다,0,3,1,65,4,약학과,1,4,2,6000,0,4000,303001
515,2,2,2,2,2,3,2,2,2,2,1,0,1,0,1,0,2,3,1,0,1,0,3,4,1,0,1,0,1,0,3,4,3,4,3,3,3,3,5,7,2,2,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,15,2,5,1,헬리콥터 조종사 면허증,0,0,1,4,비행훈련,4,5,4,4,4,4,5,2,4,4,3,5,4,4,4,1,5,4,2,3,3,3,4,3,1,1,4,4,지금은 양성하는 기관이 많지 않지만 여러가지 루트를 통해 많이 양성될전망,2,2,6,10,2,2,2,2,2,2,2,2,3,3,4,3,3,없다,"헬레콥터,보호안경,헤드셋,계측기",군인장교,없다,없다,3,1,45,4,제어계측,1,1,1,6800,0,3000,621102
516,4,6,4,6,5,6,3,5,4,6,5,6,4,6,4,5,3,5,3,5,2,4,1,0,2,3,1,0,2,4,3,4,1,0,2,3,1,0,2,4,2,4,2,4,1,0,1,0,2,4,2,4,1,0,2,4,2,4,1,0,1,0,1,0,2,4,2,4,3,4,2,4,2,4,2,4,3,4,1,0,1,0,15,2,3,2,0,0,0,2,0,0,6,6,5,5,5,5,5,4,3,4,4,4,4,2,3,2,5,5,4,4,2,3,4,3,3,2,3,3,꾸준히 지켜봐야 할 부분이라서,2,3,1,5,2,2,2,2,2,2,2,2,3,4,4,4,4,없다,컴퓨터,없다,없다,없다,4,1,44,6,역사학,1,1,1,4350,0,2800,23403
517,2,3,3,4,3,3,4,5,2,2,1,0,4,5,3,3,3,3,3,3,2,2,3,4,3,3,3,4,3,4,5,7,4,4,4,4,2,2,3,4,3,3,3,4,3,4,3,4,3,3,4,5,2,2,3,4,3,4,3,4,4,5,1,0,2,2,4,6,3,4,3,4,3,4,3,4,2,2,1,0,4,5,3,1,2,2,0,0,0,1,2,"도면숙지, 기계조작",7,2,3,4,3,5,5,3,3,3,4,4,4,1,3,2,4,3,4,2,2,2,1,1,3,2,2,3,현상태유지함,3,2,6,20,2,2,2,2,2,2,2,2,3,2,4,4,2,없다,"그라인더, 캐드, 각종기계장비",없다,없다,없다,2,1,25,2,신소재정보,1,1,1,3500,0,2000,813101
518,3,3,3,3,3,3,4,5,4,5,4,4,1,0,1,0,3,3,3,3,4,4,3,3,3,4,1,0,4,5,5,5,5,5,3,3,1,0,1,0,4,4,4,4,3,3,1,0,1,0,3,3,1,0,3,3,1,0,1,0,1,0,1,0,4,5,4,5,1,0,4,4,4,4,3,4,1,0,1,0,3,4,6,4,1,1,조적기능사,0,0,1,6,균형감각 익히기,6,2,3,4,2,4,4,3,3,0,4,3,3,3,2,2,3,4,3,3,4,4,2,2,2,2,3,3,지자체사업으로 일이 꾸준히 있다.,2,3,5,15,2,2,1,2,1,2,2,2,3,3,4,4,2,블록조적원,"벽돌, 콘크리트블록",없다,없다,없다,3,1,29,2,일반고,1,4,2,2000,0,1600,701701
519,4,5,3,5,4,5,2,3,2,3,2,3,2,2,2,3,2,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,2,2,2,3,4,2,2,2,2,2,2,2,2,3,4,3,4,2,2,2,2,3,4,2,3,2,3,2,3,2,2,2,2,2,2,2,3,3,4,2,2,2,2,1,0,1,0,1,0,13,1,1,2,0,0,0,2,0,0,7,2,3,3,3,3,3,3,3,0,0,0,3,3,3,3,4,4,3,3,4,4,4,3,4,3,3,3,소프트웨어는 지속적으로 업그레이드 되어 수요 증대,1,3,1,0,2,2,2,2,2,2,2,2,3,3,3,3,3,없다,"노트북, 컴퓨터 부품",없다,전자업,없다,1,1,41,3,컴퓨터학,2,5,0,0,3600,0,841101
520,3,4,3,4,4,5,2,2,3,4,1,0,2,3,3,4,3,4,4,5,2,3,3,6,2,2,3,5,3,4,3,5,3,4,2,3,3,4,1,0,4,6,2,2,4,7,3,4,3,4,3,4,3,4,3,4,2,2,2,2,3,5,3,3,1,0,3,3,2,2,1,0,2,2,3,4,3,4,1,0,1,0,6,1,1,1,전기공사 산업기사,전기기사,0,1,4,직무교육,7,2,3,2,2,4,3,2,3,3,3,3,3,3,3,3,3,2,4,3,3,3,2,3,3,3,3,2,건설업 부진 수요 감소,3,2,2,50,2,2,2,2,2,2,2,2,4,4,2,3,2,없다,"전동공구, 헬멧, 도면",없다,없다,없다,2,1,35,3,전기,1,1,1,2800,0,1800,831201
521,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,3,3,2,3,3,3,1,0,3,3,3,3,4,5,4,4,3,3,1,0,3,3,2,2,3,4,3,3,2,3,3,3,3,3,1,0,3,3,1,0,1,0,2,2,1,0,2,2,3,3,2,2,2,2,3,2,1,0,1,0,2,2,1,0,8,1,6,1,항공정비사,0,0,1,6,판단비교검사 평가 훈련 교육,7,5,4,4,4,4,4,2,4,3,4,4,4,4,2,2,4,4,4,4,2,2,2,2,2,2,2,5,"저가 항공이 많이 생기고 하여 증가할 것 같음, 해외여행선호로 항공기 수요 증가로 정비사 수요도 증가",2,3,6,10,2,1,1,2,2,2,2,2,4,5,4,5,4,장비 엔지니어,"항공장비, 정밀공구, 드라이버, 망치, 스패너, 수건",없다,"카센타, 운항정비관련 교육업",없다,4,1,38,4,기계공학,1,1,1,8000,0,4000,812101
522,4,5,3,4,4,5,4,5,3,4,4,5,3,3,3,4,4,5,3,5,4,5,5,7,2,4,2,4,3,3,3,3,2,2,1,0,4,4,1,0,1,0,1,0,1,0,2,3,2,4,3,5,3,5,4,6,4,5,5,7,4,6,2,3,4,6,4,5,3,2,4,5,3,3,2,3,3,4,2,2,2,3,3,1,5,2,0,0,0,1,3,"정보수집 및 분석,외국어능력,국제무역실무",3,5,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,2,3,현상태를 유지할 것이다,2,3,1,0,2,1,2,2,2,2,2,2,2,3,4,3,2,없다,"컴퓨터,무역프로그램(실용장등)SAP,ERP",없다,없다,없다,3,1,33,4,무역학,1,1,1,3200,0,2000,612201
523,3,3,5,6,4,6,3,3,3,3,5,6,3,4,4,6,5,5,5,6,3,3,4,5,3,3,4,6,4,5,3,4,2,3,3,4,3,3,2,2,2,2,3,3,3,3,4,5,4,5,4,5,4,5,4,6,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,6,3,3,2,2,3,3,17,3,6,1,의사면허증,0,0,2,0,0,6,7,5,3,3,5,5,3,2,3,4,4,3,2,2,2,4,3,2,4,2,3,4,4,3,2,2,3,현상태유지,4,3,5,10,2,2,1,1,1,2,2,2,4,4,3,3,2,교수님,PC,없다,없다,없다,3,1,39,6,의학,1,1,1,10000,0,7000,301111
524,2,4,4,5,3,4,4,5,3,4,2,2,2,3,2,3,3,4,4,4,1,0,3,4,3,3,3,3,3,3,3,3,2,3,2,3,3,4,2,3,2,2,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,1,0,2,3,1,0,3,3,3,3,1,0,2,2,3,3,2,3,2,2,1,0,2,3,18,3,4,1,전기기사,0,0,2,0,0,6,5,4,3,3,4,4,3,4,3,3,4,4,3,3,2,4,4,4,3,3,3,3,2,2,3,3,3,모든 건물에 꼭 필요하므로,1,3,1,10,2,2,2,2,2,2,2,2,4,4,4,4,2,없다,연장도구,없다,없다,없다,3,1,57,4,전기,1,1,1,5500,0,3000,834001
525,3,3,3,3,4,3,4,3,3,3,4,5,3,3,2,3,2,4,3,5,2,3,2,4,4,5,2,3,4,6,3,5,2,4,3,5,2,4,2,4,3,4,4,4,4,5,2,3,2,4,2,4,3,3,2,4,3,3,2,4,4,4,2,4,2,3,4,4,2,4,2,3,3,3,2,4,2,3,2,3,1,0,3,1,2,2,0,0,0,2,0,0,4,2,3,2,2,4,4,2,2,3,4,4,3,2,2,4,2,1,2,3,2,4,1,3,4,4,3,2,자동화설비,3,2,4,30,1,1,1,1,2,2,2,2,4,3,3,3,2,없다,플라스틱 사출기,없다,0,0,3,1,31,3,기계,1,1,1,2600,0,1500,852201
526,1,0,1,0,1,0,1,0,1,0,1,0,2,2,4,5,4,5,1,0,1,0,1,0,2,2,3,3,3,4,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,4,4,1,0,4,5,3,4,3,4,2,2,1,0,2,3,3,3,4,4,4,5,1,0,4,5,1,0,1,0,3,5,1,0,1,0,8,1,2,2,0,0,0,2,0,0,7,2,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,2,3,4,3,2,2,2,3,3,현재와 비슷한 전망,2,3,1,0,2,2,2,2,2,2,2,2,4,4,3,4,3,없다,컴퓨터,없다,없다,없다,2,1,53,3,토목,1,1,1,4000,0,2000,28201
527,4,6,4,6,4,6,3,5,4,6,4,6,3,5,4,6,3,5,4,6,2,4,3,5,4,5,3,5,3,4,3,5,3,4,2,2,3,4,1,0,1,0,1,0,1,0,2,3,2,3,3,3,2,3,2,3,5,6,3,4,3,5,1,0,2,3,3,5,2,4,3,5,3,4,2,3,2,3,3,4,2,3,17,3,6,1,의사면허증,0,0,2,0,0,6,5,4,5,4,5,4,3,4,0,0,5,3,3,3,1,4,4,5,4,3,2,4,4,3,2,3,4,질병 등 전망에 관심도가 높아지면서,3,2,4,30,1,1,1,2,2,2,2,2,4,4,3,4,3,없다,"진료도구(혈액화학분석기,경비내시경,초음파)",없다,교수,없다,3,1,30,4,의학,1,3,2,3200,0,3000,301201
528,4,5,3,4,3,4,3,4,4,5,4,6,4,5,3,4,3,4,4,5,4,5,4,5,4,5,4,5,4,5,3,4,3,4,2,3,3,4,2,3,3,4,3,4,4,5,4,4,4,5,3,4,3,4,4,5,4,5,3,4,4,5,3,4,4,5,4,5,3,4,4,4,4,5,3,4,4,5,4,5,4,5,6,1,2,1,건축전기설비기술사,0,0,2,0,0,6,5,4,3,3,4,4,2,3,3,4,4,3,3,2,2,3,3,4,3,4,2,4,4,2,2,5,3,배우는 사람이 적다,3,2,6,30,2,2,2,2,2,2,2,2,4,3,4,2,2,없다,"PC, MS office program",없다,없다,없다,3,1,52,4,건축,1,1,1,5800,0,2600,140204
529,3,4,2,3,2,3,3,4,2,4,1,0,2,3,3,4,3,3,2,2,1,0,2,2,2,3,3,3,2,2,3,4,2,2,3,4,3,4,3,3,3,4,2,3,3,3,3,4,3,3,3,4,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,2,4,2,0,0,0,2,0,0,6,4,4,4,4,4,4,3,3,3,3,4,3,3,3,2,4,3,4,3,4,4,2,3,3,3,4,3,전기는 꼭 필요하므로,2,3,2,30,2,2,1,2,1,2,2,2,5,4,4,4,2,없다,"각종 계기판, 컴퓨터",없다,없다,없다,2,1,32,4,기계공학,1,1,1,3700,0,3000,833001
530,4,6,3,4,4,7,1,0,1,0,1,0,1,0,1,0,4,6,4,6,1,0,3,4,1,0,3,2,3,2,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,3,2,3,3,3,4,2,2,2,2,3,6,1,0,1,0,1,0,1,0,1,0,3,3,3,3,1,0,4,3,1,0,1,0,1,0,17,2,6,1,의사면허,안과전문의,0,1,6,"레지던트, 인턴과정",6,5,4,4,4,4,4,4,4,5,4,4,4,4,3,5,4,4,4,4,4,3,4,4,2,1,3,4,고령사회라서,3,3,4,20,2,2,1,2,2,2,2,2,4,4,4,4,3,전문의,CNU care,없다,의대교수,없다,4,1,47,5,의학,1,1,1,10000,0,7000,301106
531,4,3,4,3,5,3,1,0,4,3,4,4,4,3,5,3,4,3,5,3,4,3,4,3,4,3,4,3,4,3,4,4,1,0,1,0,4,4,1,0,1,0,1,0,3,2,4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,3,2,13,1,2,2,0,0,0,2,0,0,6,5,3,3,3,3,4,1,3,3,3,3,3,3,3,3,3,2,3,2,4,2,2,3,2,2,4,2,"인공지능이 발달해지므로 , 시장포화상태",3,2,3,20,2,1,2,2,2,2,2,2,2,4,2,3,3,없다,"pc,visual studio,이클립스,컴퓨터시스템os",없다,없다,없다,4,1,34,4,산업공학,1,1,1,3400,0,2800,133101
532,1,0,1,0,1,0,3,4,3,4,1,0,1,0,1,0,1,0,3,3,1,0,1,0,3,4,3,4,3,4,3,4,1,0,3,4,3,5,4,5,2,3,3,4,2,3,1,0,1,0,3,4,3,4,3,4,3,4,2,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,5,3,5,3,4,8,1,5,2,0,0,0,2,0,0,7,5,4,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,2,3,1,2,3,다른 걸로 대체할 수 없는 직종,2,2,2,10,2,2,2,2,2,2,2,2,3,3,3,4,2,없다,PC,없다,없다,없다,3,1,55,4,무역학,1,1,1,10000,0,7000,15201
533,3,4,3,4,4,5,1,0,3,4,4,5,1,0,2,3,4,5,4,5,3,4,2,2,3,4,3,4,4,5,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,2,3,1,0,2,3,3,4,3,4,1,0,2,1,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,18,3,3,2,0,0,0,2,0,0,4,4,4,4,4,3,3,4,4,3,3,4,4,3,2,2,3,3,3,2,3,4,2,2,2,2,3,4,여가에 대한 관심들이 높아지고 있어서,2,3,1,0,2,2,2,2,2,2,2,2,4,4,3,3,2,없다,컴퓨터,문서교정원,없다,없다,3,2,30,4,국어국문학,1,1,1,2800,0,2000,24402
534,4,5,4,4,5,4,5,4,3,5,3,4,3,2,3,3,3,3,3,6,5,6,5,7,3,5,3,2,3,4,3,2,2,4,5,5,5,4,4,4,3,6,3,5,3,4,5,6,2,3,2,3,4,4,2,4,2,2,1,0,4,7,1,0,3,3,2,2,3,2,2,3,2,4,2,2,5,3,2,4,2,3,5,2,4,1,전기관련자격증,"대기, 수질분야 관련",폐기물처리기사,1,1,기본업무 숙지 교육,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,2,4,4,3,3,3,3,4,3,꾸준히 필요로 하기 때문에,3,3,4,100,2,2,1,2,1,2,1,1,4,5,4,3,3,없다,시설운영전산시스템,전기 관련 회사,없다,없다,4,1,46,3,전기공학,1,1,1,5000,0,2000,853101
535,3,6,4,7,5,7,3,4,4,6,3,4,3,5,3,3,2,3,3,4,2,1,5,6,4,4,3,4,3,5,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,3,3,5,6,4,5,3,4,3,4,3,3,2,2,4,5,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,15,2,4,2,0,0,0,2,0,0,2,6,4,3,4,4,5,3,2,4,4,4,4,4,4,3,3,3,3,3,4,4,2,3,3,3,3,3,인력 대체수단이 없다,2,3,1,0,2,1,1,1,1,2,2,1,4,4,4,3,3,없다,"Pc,office,Excel",없다,없다,없다,3,1,41,5,경영학,1,1,1,5000,0,3300,110202
536,2,4,3,2,3,3,2,4,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,5,3,4,3,3,3,4,2,3,1,0,2,3,3,4,3,4,3,3,3,3,3,4,4,6,3,5,3,5,2,3,3,5,3,4,3,4,3,3,2,3,2,3,3,4,2,4,2,4,3,4,3,4,3,4,3,5,3,4,3,1,2,1,펄프제지기능사,0,0,2,0,0,2,2,2,1,1,2,2,2,2,2,5,5,3,2,2,5,2,2,3,3,4,4,1,3,4,3,3,2,자동화 시스템 증가,3,2,2,40,1,2,2,2,2,2,2,2,4,4,2,2,2,없다,"탈묵기, 쇄목기",없다,없다,없다,2,1,24,2,실업계,1,1,1,1900,0,1900,882201
537,2,3,3,3,3,4,3,4,1,0,2,1,1,0,2,2,2,2,2,3,3,4,3,4,3,3,1,0,2,3,2,2,2,1,4,5,4,4,5,6,1,0,5,5,1,0,2,2,2,1,3,4,2,2,1,0,1,0,1,0,3,4,1,0,3,3,3,3,2,3,3,4,3,3,3,4,1,0,1,0,1,0,19,1,3,1,정보통신산업기사,0,0,2,0,0,7,5,4,4,3,4,4,3,3,3,3,4,3,4,2,2,3,3,3,2,4,3,3,4,2,3,4,3,계속해서 컴퓨터는 보급되고 있기 때문에,2,3,1,10,2,1,2,2,2,2,2,2,4,4,4,3,3,없다,PC,없다,없다,없다,3,1,35,4,컴퓨터공학,1,1,1,3800,0,2000,131101
538,3,3,3,4,1,0,1,0,1,0,3,3,1,0,1,0,1,0,2,2,4,6,4,6,1,0,3,4,3,4,4,6,3,3,4,6,3,4,1,0,1,0,1,0,1,0,1,0,1,0,3,4,4,6,4,6,4,6,3,4,1,0,5,7,1,0,1,0,3,4,2,2,2,2,2,2,1,0,1,0,1,0,9,1,1,1,커피 매니저 자격증,0,0,1,2,직무교육,7,4,4,3,2,4,4,3,4,3,4,4,4,3,3,2,3,3,4,3,3,3,4,4,2,2,3,4,외식문화 증가,3,1,2,30,2,2,1,2,2,2,2,2,4,4,4,4,2,커피 메니져,커피머신,회사원,없다,없다,3,1,33,4,경제,1,1,1,2800,0,2500,531701
539,5,4,4,5,4,4,1,0,2,3,1,0,1,0,1,0,3,3,4,3,1,0,2,2,1,0,2,3,4,4,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,4,3,2,4,3,3,3,4,3,3,5,6,4,4,1,0,4,4,1,0,1,0,2,2,2,2,3,2,2,2,3,3,1,0,2,5,17,1,5,1,의사,0,0,1,6,일반의사 레지던트,6,5,4,3,3,5,5,3,5,4,4,4,4,4,4,1,3,3,4,3,3,3,4,3,3,2,1,4,의료분야의 활성화,2,4,6,30,2,1,1,1,2,2,1,2,3,4,4,4,2,없다,환자차트EMR,없다,외과의사,없다,3,1,38,4,의학,1,1,1,8800,0,5000,301201
540,4,5,4,4,3,5,2,3,5,6,3,5,3,4,3,3,4,6,4,5,3,5,5,7,3,4,3,3,2,3,3,3,2,3,2,2,3,4,2,1,2,2,2,3,2,2,4,6,2,2,2,3,3,3,3,4,3,4,2,2,3,3,2,2,3,3,3,3,2,3,2,3,2,2,3,3,2,3,2,2,2,1,6,1,4,2,0,0,0,1,4,전기감리안전정기보수교육,5,5,5,3,3,3,3,3,3,4,3,4,4,4,4,2,3,3,3,3,3,3,3,2,3,3,3,2,수요에 비해 배출되는 인력이 너무 많다,2,2,3,20,1,2,1,2,1,1,2,2,3,3,3,4,3,없다,"드라이버, 계측기, 엑셀, 캐드",없다,없다,없다,4,1,32,4,전기공학,1,1,1,3500,0,3000,153105
541,3,3,2,3,2,2,1,0,2,2,3,3,3,5,3,5,3,4,3,4,2,2,3,3,3,3,3,5,3,4,2,2,1,0,1,0,3,2,1,0,1,0,1,0,1,0,2,3,2,2,2,2,3,4,3,3,2,4,1,0,2,2,3,5,3,5,3,3,4,3,2,3,3,3,3,4,2,3,3,3,1,0,18,3,2,2,0,0,0,2,0,0,7,5,4,2,2,4,4,3,3,0,0,0,3,4,3,2,3,3,2,3,4,4,4,4,4,2,3,3,그냥 변화 없을것 같아서,2,3,6,10,2,1,2,2,2,2,2,2,5,4,4,4,4,매니저먼트,없다,연구소직원,없다,없다,2,1,30,5,스포츠마케팅,1,1,1,4000,0,3200,9999999
542,2,4,2,3,2,4,2,4,2,3,2,4,2,4,1,0,2,3,2,3,1,0,2,4,2,4,1,0,3,5,4,4,4,5,3,4,1,0,2,4,3,4,2,4,2,3,2,4,2,3,3,4,3,4,2,3,2,3,2,4,2,4,1,0,2,4,2,4,1,0,2,4,2,4,2,4,1,0,2,3,1,0,3,1,4,2,0,0,0,2,0,0,3,2,2,2,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,인건비 때문에 외국인 근로자를 많있쓴다,2,3,4,30,1,1,1,2,2,2,2,2,3,4,3,4,2,없다,"도장기, 도표",없다,없다,없다,3,1,48,2,공업,1,2,2,2000,0,1700,825101
543,4,6,1,0,2,3,1,0,1,0,1,0,1,0,4,6,4,6,3,5,1,0,1,0,3,4,1,0,4,5,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,4,6,4,6,4,5,1,0,3,4,1,0,1,0,1,0,1,0,4,4,4,5,3,4,4,5,3,4,1,0,4,5,1,0,1,0,15,2,5,2,0,0,0,2,0,0,7,6,4,4,4,4,4,4,3,3,4,4,4,2,2,2,4,4,4,4,3,2,2,3,3,3,2,3,필요한 연구이기 때문에,2,3,1,5,2,2,2,2,2,2,2,2,4,4,4,5,2,없다,역사서적,없다,없다,없다,3,1,34,5,역사학과,1,3,1,4300,0,2700,110102
544,4,5,3,2,4,3,1,0,1,0,1,0,2,2,2,6,2,1,2,2,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,3,4,2,2,2,2,2,3,3,2,1,0,1,0,1,0,1,0,2,2,2,2,2,2,2,2,2,4,3,1,1,0,2,5,17,2,2,1,정신보건사회복지사,0,0,1,5,"알콜중동,소통하기훈련",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,1,4,2,2,3,2,2,2,4,사회복지시설이 많이 필요해서,3,4,3,20,2,2,2,2,2,2,2,2,4,3,3,2,2,상담사,"자료,컴퓨터,종이,연필,볼펜",없다,"사회복지사 상담전문가,청소년지도사",없다,4,2,28,4,사회복지학,1,1,1,2200,0,1800,9999999
545,3,3,4,5,4,6,3,4,2,3,4,6,2,2,2,2,3,4,2,3,2,3,3,5,4,5,2,3,3,4,5,6,3,4,2,4,2,3,1,0,2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,3,3,5,3,4,2,4,1,0,2,3,3,3,3,3,2,4,3,3,2,3,2,2,1,0,1,0,18,1,1,1,생활체육스포츠지도자,0,0,1,3,재활훈련 마사지,5,3,5,2,2,3,4,3,3,3,3,3,5,3,4,2,4,3,3,3,3,2,5,4,3,2,2,4,"몸관리,경기향상을위해 전문화된 트레이너를 고용하는 선수들이 많이있다",2,3,1,0,2,2,1,1,2,2,2,2,4,4,4,4,3,없다,"운동기구,재활기구",없다,없다,없다,3,1,31,4,체육학,1,1,1,3200,0,2000,420402
546,4,5,3,4,3,3,5,7,4,5,3,5,4,4,2,3,3,4,4,6,4,4,4,4,4,3,3,4,3,3,5,5,1,0,1,0,5,6,1,0,3,3,4,4,1,0,4,5,3,4,4,5,4,4,4,5,4,4,3,5,4,6,3,4,3,3,4,4,2,4,4,6,4,4,3,3,4,4,3,4,4,5,19,1,2,2,0,0,0,2,0,0,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,2,3,2,2,3,1,2,2,3,"기획, 전문성 강화 추세",3,3,3,0,2,2,2,2,2,2,2,2,3,3,3,4,3,없다,"컴퓨터, 기획서",없다,없다,없다,2,2,30,2,인문계열,1,1,1,2800,0,2300,512102
547,2,2,2,2,2,3,2,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,2,3,3,3,3,5,3,3,3,5,3,5,2,3,1,0,2,4,2,4,3,5,1,0,2,3,2,4,3,3,3,5,3,5,2,3,1,0,3,3,3,3,1,0,3,3,2,3,1,0,1,0,1,0,1,0,1,0,2,3,3,1,3,2,0,0,0,1,1,용접훈련,2,2,3,2,1,4,3,2,3,3,3,4,3,2,2,2,2,2,4,3,3,3,2,3,4,3,4,2,경기하락,3,2,3,20,2,2,1,2,1,2,2,2,3,4,3,3,2,없다,"용접기,그라인더",없다,없다,없다,2,1,35,2,기계,1,3,2,4000,0,2200,703201
548,2,3,2,3,2,2,2,2,2,2,3,3,1,0,1,0,1,0,2,3,3,5,2,2,2,2,4,5,2,3,3,4,3,5,3,2,1,0,2,2,2,2,2,2,2,3,1,0,2,2,3,4,2,4,4,6,3,4,4,5,2,3,3,4,3,4,3,4,2,2,2,2,1,0,1,0,1,0,1,0,2,2,18,4,3,2,0,0,0,2,0,0,2,2,3,4,3,4,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,2,공연무대가 줄어든다,2,3,4,5,2,2,2,1,2,2,2,2,3,3,3,3,3,없다,마술상자,생산직,없다,없다,4,1,41,2,상,2,6,0,0,2000,0,414901
549,5,5,5,6,4,6,4,6,3,5,4,5,4,4,4,4,4,6,5,6,4,6,5,5,3,5,3,3,4,4,1,0,2,4,4,5,5,6,2,2,4,4,2,4,4,4,5,5,4,4,4,4,4,5,4,5,2,3,3,3,4,6,4,5,4,6,4,4,5,5,4,6,5,6,3,6,2,3,1,0,1,0,16,5,3,2,0,0,0,2,0,0,5,6,4,3,3,4,4,2,3,4,4,4,4,3,4,4,3,3,2,3,3,2,1,3,4,2,3,3,현 상태 유지,4,4,3,30,1,1,1,2,1,2,2,1,4,3,4,5,4,없다,PC,없다,없다,0,3,1,45,6,통계학과,1,1,1,5000,0,3500,121103
